avi_file,file_id,start,end,constriction_location,
/home/tsorense/summer2017/repositories/span_segmentation/demo_files/ac09132015_10_46_47.avi,beet_1,1320.8802345883,1621.0802879039,bilabial,beet_
/home/tsorense/summer2017/repositories/span_segmentation/demo_files/ac09132015_10_46_47.avi,beet_2,1633.0882900365,1741.1603092301,bilabial,beet_
/home/tsorense/summer2017/repositories/span_segmentation/demo_files/ac09132015_10_46_47.avi,beet_3,1753.1683113627,1993.3283540151,bilabial,beet_
/home/tsorense/summer2017/repositories/span_segmentation/demo_files/ac09132015_10_46_47.avi,bit_1,3050.0325416858,3302.2005864708,bilabial,bit_
/home/tsorense/summer2017/repositories/span_segmentation/demo_files/ac09132015_10_46_47.avi,bit_2,3314.2085886035,3602.4006397864,bilabial,bit_
/home/tsorense/summer2017/repositories/span_segmentation/demo_files/ac09132015_10_46_47.avi,bit_3,3614.408641919,3722.4806611126,bilabial,bit_
/home/tsorense/summer2017/repositories/span_segmentation/demo_files/ac09132015_10_46_47.avi,bait_1,4623.0808210592,4863.2408637116,bilabial,bait_
/home/tsorense/summer2017/repositories/span_segmentation/demo_files/ac09132015_10_46_47.avi,bait_2,4875.2488658442,5103.400906364,bilabial,bait_
/home/tsorense/summer2017/repositories/span_segmentation/demo_files/ac09132015_10_46_47.avi,bait_3,5115.4089084966,5379.5849554143,bilabial,bait_
/home/tsorense/summer2017/repositories/span_segmentation/demo_files/ac09132015_10_46_47.avi,bet_1,6196.1291004325,6424.2811409523,bilabial,bet_
/home/tsorense/summer2017/repositories/span_segmentation/demo_files/ac09132015_10_46_47.avi,bet_2,6436.289143085,6664.4411836048,bilabial,bet_
/home/tsorense/summer2017/repositories/span_segmentation/demo_files/ac09132015_10_46_47.avi,bet_3,6676.4491857374,6976.6492390529,bilabial,bet_
/home/tsorense/summer2017/repositories/span_segmentation/demo_files/ac09132015_10_46_47.avi,bat_1,7853.2333947343,8105.4014395193,bilabial,bat_
/home/tsorense/summer2017/repositories/span_segmentation/demo_files/ac09132015_10_46_47.avi,bat_2,8117.4094416519,8345.5614821717,bilabial,bat_
/home/tsorense/summer2017/repositories/span_segmentation/demo_files/ac09132015_10_46_47.avi,bat_3,8357.5694843043,8645.7615354873,bilabial,bat_
/home/tsorense/summer2017/repositories/span_segmentation/demo_files/ac09132015_10_46_47.avi,pot_1,9714.4737252905,9954.633767943,bilabial,pot_
/home/tsorense/summer2017/repositories/span_segmentation/demo_files/ac09132015_10_46_47.avi,pot_2,9966.6417700756,10206.801812728,bilabial,pot_
/home/tsorense/summer2017/repositories/span_segmentation/demo_files/ac09132015_10_46_47.avi,pot_3,10218.8098148606,10446.9618553804,bilabial,pot_
/home/tsorense/summer2017/repositories/span_segmentation/demo_files/ac09132015_10_46_47.avi,bought_1,11611.7380622447,11911.9381155602,bilabial,bought_
/home/tsorense/summer2017/repositories/span_segmentation/demo_files/ac09132015_10_46_47.avi,bought_2,11923.9461176928,12188.1221646105,bilabial,bought_
/home/tsorense/summer2017/repositories/span_segmentation/demo_files/ac09132015_10_46_47.avi,bought_3,12200.1301667431,12332.218190202,bilabial,bought_
/home/tsorense/summer2017/repositories/span_segmentation/demo_files/ac09132015_10_46_47.avi,pout_1,13364.9063736074,13629.082420525,bilabial,pout_
/home/tsorense/summer2017/repositories/span_segmentation/demo_files/ac09132015_10_46_47.avi,pout_2,13641.0904226577,13869.2424631775,bilabial,pout_
/home/tsorense/summer2017/repositories/span_segmentation/demo_files/ac09132015_10_46_47.avi,pout_3,13881.2504653101,14169.442516493,bilabial,pout_
/home/tsorense/summer2017/repositories/span_segmentation/demo_files/ac09132015_10_47_27.avi,put_1,1380.9202452514,1621.0802879039,bilabial,put_
/home/tsorense/summer2017/repositories/span_segmentation/demo_files/ac09132015_10_47_27.avi,put_2,1633.0882900365,1861.2403305563,bilabial,put_
/home/tsorense/summer2017/repositories/span_segmentation/demo_files/ac09132015_10_47_27.avi,put_3,1873.2483326889,2077.3843689435,bilabial,put_
/home/tsorense/summer2017/repositories/span_segmentation/demo_files/ac09132015_10_47_27.avi,boot_1,2905.9365160943,3146.0965587468,bilabial,boot_
/home/tsorense/summer2017/repositories/span_segmentation/demo_files/ac09132015_10_47_27.avi,boot_2,3158.1045608794,3386.2566013992,bilabial,boot_
/home/tsorense/summer2017/repositories/span_segmentation/demo_files/ac09132015_10_47_27.avi,boot_3,3398.2646035318,3674.4486525821,bilabial,boot_
/home/tsorense/summer2017/repositories/span_segmentation/demo_files/ac09132015_10_47_27.avi,but_1,4539.0248061308,4779.1848487832,bilabial,but_
/home/tsorense/summer2017/repositories/span_segmentation/demo_files/ac09132015_10_47_27.avi,but_2,4791.1928509159,5043.3608957009,bilabial,but_
/home/tsorense/summer2017/repositories/span_segmentation/demo_files/ac09132015_10_47_27.avi,but_3,5055.3688978335,5187.4569212924,bilabial,but_
/home/tsorense/summer2017/repositories/span_segmentation/demo_files/ac09132015_10_47_27.avi,bert_1,6112.0730855042,6364.2411302892,bilabial,bert_
/home/tsorense/summer2017/repositories/span_segmentation/demo_files/ac09132015_10_47_27.avi,bert_2,6376.2491324219,6604.4011729417,bilabial,bert_
/home/tsorense/summer2017/repositories/span_segmentation/demo_files/ac09132015_10_47_27.avi,bert_3,6616.4091750743,6904.6012262572,bilabial,bert_
/home/tsorense/summer2017/repositories/span_segmentation/demo_files/ac09132015_10_47_27.avi,boyd_1,7925.28140753,8165.4414501824,bilabial,boyd_
/home/tsorense/summer2017/repositories/span_segmentation/demo_files/ac09132015_10_47_27.avi,boyd_2,8177.449452315,8405.6014928348,bilabial,boyd_
/home/tsorense/summer2017/repositories/span_segmentation/demo_files/ac09132015_10_47_27.avi,boyd_3,8417.6094949675,8657.7695376199,bilabial,boyd_
/home/tsorense/summer2017/repositories/span_segmentation/demo_files/ac09132015_10_47_27.avi,bite_1,9462.3056805055,9786.5217380863,bilabial,bite_
/home/tsorense/summer2017/repositories/span_segmentation/demo_files/ac09132015_10_47_27.avi,bite_2,9798.5297402189,10086.7217914018,bilabial,bite_
/home/tsorense/summer2017/repositories/span_segmentation/demo_files/ac09132015_10_47_27.avi,bite_3,10098.7297935344,10314.8738319216,bilabial,bite_
/home/tsorense/summer2017/repositories/span_segmentation/demo_files/ac09132015_10_47_27.avi,beaut_1,11107.4019726746,11467.6420366532,bilabial,beaut_
/home/tsorense/summer2017/repositories/span_segmentation/demo_files/ac09132015_10_47_27.avi,beaut_2,11479.6500387858,11827.8821006319,bilabial,beaut_
/home/tsorense/summer2017/repositories/span_segmentation/demo_files/ac09132015_10_47_27.avi,beaut_3,11839.8901027645,12068.0421432843,bilabial,beaut_
/home/tsorense/summer2017/repositories/span_segmentation/demo_files/ac09132015_10_47_27.avi,beaut_4,12080.0501454169,12344.2261923346,bilabial,beaut_
